timeseries,start_date,use_temp_df,hierarchical,uniform_constant,tune_method,tune_loss_factor,shrinkage_strength,intercept_sd,beta_sd,scaler,mse,rmse,mae,mape
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,maxabs,10.909671905103618,3.3029792468472485,2.5775342570406052,0.4179247552627533
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,maxabs,0.0019795563668893153,0.044492205686943814,0.040316149442481394,0.6303580635113152
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,maxabs,0.1352795607741022,0.3678036986955164,0.3377305067134251,10.391885250612384
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,maxabs,0.10884550789840948,0.3299174258786727,0.3030104062172926,3.750303976924298
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,maxabs,0.0005711359550338639,0.023898450891927367,0.01740194169136921,0.4368560512649665
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,minmax,10.877902902109485,3.298166597082307,2.574023038944699,0.4163208563615065
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,minmax,0.00021435119150300418,0.014640737396149286,0.012400291938195591,0.20490098438991622
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,minmax,0.07561446272817053,0.27498084065652745,0.2563493979347365,7.786022192666794
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,minmax,0.05219793515740143,0.22846867434596244,0.21334568952342994,2.627035869028607
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,0.5,minmax,0.0008034060327033316,0.028344418016663025,0.017630645971273253,0.31299182630534655
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,maxabs,10.909932457999835,3.3030186887148907,2.5775673033623914,0.4180305484848513
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,maxabs,0.0019793299593141647,0.04448966126319872,0.04031920948945845,0.6304145457643159
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,maxabs,0.1352932611090767,0.3678223227443879,0.3377955171172367,10.391247220128752
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,maxabs,0.10885984824010732,0.3299391583915242,0.30308473795107316,3.750579071401086
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,maxabs,0.0005711507373008421,0.02389876016241935,0.017402592383335563,0.43683690909287204
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,minmax,10.879910530953765,3.2984709383218407,2.5741645548602463,0.41675594784850994
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,minmax,0.00021429987192864142,0.01463898466180771,0.012395015617260932,0.20476940238478206
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,minmax,0.07560024644549701,0.27495498985378863,0.2562603174644301,7.786012695046195
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,minmax,0.052176409099107895,0.22842156005751274,0.2132326999515325,2.6263569091264363
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.0,minmax,0.000803066643386049,0.02833843050322387,0.017631658757499072,0.3131835820413875
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,maxabs,10.909631970572516,3.302973201612831,2.577521841200917,0.41794560278842807
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,maxabs,0.0019805160729819706,0.044502989483651216,0.04032627355366092,0.6305157726503718
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,maxabs,0.13527364061445407,0.36779565061927266,0.3376569197437014,10.393211993571557
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,maxabs,0.10884949241564228,0.32992346448175264,0.3029256370876306,3.7503021439329305
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,maxabs,0.0005713219291155348,0.023902341498596633,0.017404747254989902,0.43682622193841575
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,minmax,10.878853569684704,3.298310714545357,2.5741947027790886,0.41600285895440214
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,minmax,0.00021457672256742564,0.014648437546968129,0.012408784631619011,0.2050686050877848
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,minmax,0.0756141082502994,0.2749801961056458,0.2563626546440463,7.785884951208826
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,minmax,0.05221767327039212,0.22851186680431307,0.21340572607958072,2.62755554776283
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.1,1.5,minmax,0.0008033695067253251,0.028343773685332113,0.017630415408704046,0.3130095942073807
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,maxabs,10.90415532025553,3.302144048986284,2.577536968216525,0.4179644544531539
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,maxabs,0.002093456946071932,0.04575431068295022,0.041716233234616665,0.6521375224334233
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,maxabs,0.14114689260598728,0.3756952123809768,0.3464569944192304,10.587196279263015
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,maxabs,0.11400504501286138,0.3376463312592947,0.3118054857549483,3.839736230084588
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,maxabs,0.000576653771873171,0.024013616384734118,0.01767410129452392,0.4495015027763132
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,minmax,10.877636781378499,3.2981262530986437,2.5740437603181503,0.41643520194250444
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,minmax,0.00021288138844691856,0.014590455388606573,0.012351191520766245,0.20397265901656864
