mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.148,0.038,0.08,0.219,0.001,0.001,727.0,1140.0,1.0
0.817,0.034,0.754,0.878,0.001,0.001,726.0,1128.0,1.0
-3.784,0.356,-4.432,-3.126,0.006,0.005,3628.0,2727.0,1.0
-0.619,0.294,-1.163,-0.056,0.006,0.004,2391.0,2925.0,1.0
0.882,0.214,0.507,1.315,0.005,0.003,1858.0,2683.0,1.0
0.023,0.071,-0.095,0.179,0.001,0.002,3271.0,1838.0,1.0
0.109,0.101,-0.046,0.311,0.002,0.002,2577.0,1841.0,1.0
0.073,0.092,-0.065,0.272,0.002,0.002,2673.0,1775.0,1.0
0.294,0.145,0.019,0.552,0.004,0.002,1143.0,2408.0,1.0
-0.003,0.063,-0.134,0.114,0.001,0.001,4988.0,2455.0,1.0
-0.136,0.129,-0.377,0.059,0.003,0.003,1765.0,1507.0,1.0
1.267,0.177,0.924,1.579,0.005,0.003,1190.0,2359.0,1.0
-0.0,0.066,-0.135,0.12,0.001,0.002,3522.0,2009.0,1.0
-0.239,0.174,-0.553,0.036,0.005,0.003,1661.0,2104.0,1.0
-1.777,0.181,-2.096,-1.43,0.005,0.003,1587.0,2156.0,1.0
-0.006,0.065,-0.145,0.116,0.001,0.002,3266.0,1955.0,1.0
0.079,0.101,-0.074,0.288,0.003,0.003,1684.0,1482.0,1.0
0.658,0.152,0.354,0.917,0.004,0.003,1479.0,1820.0,1.01
0.087,0.109,-0.073,0.308,0.003,0.003,2225.0,1666.0,1.01
0.005,0.067,-0.122,0.147,0.001,0.002,4623.0,2431.0,1.0
2.461,0.252,1.982,2.925,0.007,0.004,1274.0,2020.0,1.0
0.808,0.334,0.164,1.393,0.009,0.004,1498.0,2310.0,1.0
-3.678,0.255,-4.168,-3.218,0.006,0.003,1644.0,2535.0,1.0
-0.076,0.1,-0.274,0.074,0.002,0.002,2689.0,2047.0,1.0
-0.305,0.177,-0.608,0.008,0.006,0.003,998.0,1798.0,1.0
0.019,0.07,-0.116,0.159,0.001,0.002,2992.0,1770.0,1.01
1.191,0.152,0.918,1.476,0.006,0.003,713.0,1157.0,1.0
-0.007,0.003,-0.012,-0.002,0.0,0.0,791.0,1340.0,1.0
0.013,0.002,0.009,0.016,0.0,0.0,997.0,2168.0,1.0
0.004,0.001,0.002,0.006,0.0,0.0,2131.0,2975.0,1.0
-0.013,0.001,-0.015,-0.011,0.0,0.0,1637.0,2625.0,1.0
-0.002,0.001,-0.004,-0.0,0.0,0.0,3765.0,3125.0,1.0
0.006,0.001,0.004,0.007,0.0,0.0,3367.0,2863.0,1.0
0.009,0.001,0.007,0.01,0.0,0.0,4698.0,2866.0,1.0
0.004,0.001,0.003,0.006,0.0,0.0,5329.0,2899.0,1.0
-0.003,0.001,-0.005,-0.001,0.0,0.0,4830.0,2931.0,1.0
-0.002,0.001,-0.003,-0.0,0.0,0.0,6338.0,2960.0,1.0
-0.0,0.001,-0.002,0.002,0.0,0.0,5787.0,3004.0,1.0
0.002,0.001,0.0,0.003,0.0,0.0,5955.0,2986.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,6365.0,3035.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,6761.0,2997.0,1.0
-0.0,0.001,-0.002,0.002,0.0,0.0,7017.0,2832.0,1.0
-0.0,0.001,-0.002,0.001,0.0,0.0,6794.0,3144.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,6159.0,3066.0,1.0
-0.0,0.001,-0.001,0.002,0.0,0.0,7263.0,2522.0,1.0
0.018,0.0,0.017,0.019,0.0,0.0,2916.0,2695.0,1.0
