mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-0.342,0.759,-1.817,1.054,0.044,0.022,300.0,683.0,1.01
-0.004,0.967,-1.887,1.773,0.029,0.017,1087.0,1763.0,1.0
-0.147,0.959,-2.017,1.62,0.026,0.015,1357.0,2343.0,1.0
-0.12,0.95,-2.008,1.548,0.027,0.015,1212.0,1851.0,1.0
-0.145,0.993,-2.068,1.673,0.028,0.017,1261.0,1834.0,1.0
-0.009,0.942,-1.676,1.822,0.026,0.015,1332.0,2020.0,1.0
0.33,0.968,-1.523,2.126,0.028,0.017,1176.0,1783.0,1.0
-0.084,0.936,-1.914,1.638,0.027,0.015,1196.0,2013.0,1.0
0.03,0.968,-1.883,1.759,0.03,0.017,1028.0,1650.0,1.0
-0.179,0.974,-1.96,1.684,0.027,0.015,1263.0,2050.0,1.0
-0.065,0.981,-2.015,1.673,0.029,0.015,1146.0,2007.0,1.0
-0.029,1.014,-1.951,1.893,0.028,0.017,1310.0,1893.0,1.0
-0.077,0.979,-1.923,1.699,0.028,0.015,1227.0,2113.0,1.0
-0.184,0.984,-1.941,1.751,0.027,0.016,1374.0,2105.0,1.0
0.138,1.012,-1.655,2.125,0.03,0.019,1135.0,1629.0,1.0
-0.17,0.968,-2.057,1.589,0.026,0.016,1412.0,2111.0,1.0
0.039,0.987,-1.759,1.939,0.029,0.016,1123.0,1946.0,1.0
-0.11,0.991,-2.03,1.706,0.028,0.016,1226.0,1920.0,1.0
-0.009,0.963,-1.811,1.852,0.025,0.016,1529.0,2154.0,1.0
-0.088,0.949,-1.825,1.784,0.028,0.015,1154.0,2036.0,1.0
-0.008,0.974,-1.819,1.801,0.032,0.018,962.0,1314.0,1.01
-0.097,0.981,-1.889,1.767,0.028,0.015,1197.0,1781.0,1.0
0.298,0.98,-1.618,2.042,0.027,0.015,1310.0,2171.0,1.0
-0.267,0.982,-2.03,1.634,0.029,0.015,1187.0,2008.0,1.0
0.102,0.997,-1.799,1.941,0.028,0.017,1296.0,1928.0,1.0
-0.13,0.999,-2.042,1.716,0.027,0.017,1395.0,2031.0,1.0
0.167,0.966,-1.534,2.043,0.035,0.017,774.0,1620.0,1.01
-0.0,0.948,-1.848,1.715,0.03,0.017,1003.0,1572.0,1.0
0.349,0.803,-1.15,1.861,0.028,0.014,843.0,1416.0,1.01
0.553,0.85,-1.025,2.153,0.034,0.018,624.0,1252.0,1.0
-0.707,0.736,-2.09,0.648,0.024,0.013,955.0,1581.0,1.0
1.194,0.707,-0.049,2.609,0.026,0.016,723.0,1187.0,1.0
-2.181,0.692,-3.532,-0.958,0.021,0.011,1067.0,1871.0,1.0
0.326,0.652,-0.882,1.562,0.021,0.011,972.0,1732.0,1.0
-1.85,0.645,-3.044,-0.641,0.021,0.01,936.0,1789.0,1.0
-1.853,0.628,-3.005,-0.657,0.018,0.01,1216.0,2047.0,1.0
0.778,0.583,-0.26,1.937,0.015,0.009,1559.0,1901.0,1.0
-2.274,0.602,-3.39,-1.165,0.018,0.009,1089.0,1828.0,1.0
0.998,0.242,0.565,1.431,0.018,0.008,185.0,483.0,1.01
-1.436,0.343,-2.078,-0.818,0.025,0.011,184.0,434.0,1.01
1.265,0.295,0.723,1.789,0.022,0.01,183.0,471.0,1.01
0.386,0.146,0.126,0.648,0.008,0.004,300.0,646.0,1.0
1.35,0.312,0.783,1.935,0.023,0.01,181.0,423.0,1.01
0.817,0.218,0.416,1.211,0.014,0.006,234.0,674.0,1.01
1.354,0.311,0.76,1.903,0.023,0.011,179.0,392.0,1.01
-0.692,0.192,-1.055,-0.359,0.013,0.007,200.0,451.0,1.01
-0.003,0.028,-0.058,0.051,0.001,0.001,590.0,983.0,1.01
-3.83,0.35,-4.481,-3.179,0.013,0.006,676.0,1455.0,1.01
-0.607,0.295,-1.113,-0.034,0.013,0.006,526.0,1135.0,1.01
0.895,0.209,0.48,1.264,0.009,0.005,508.0,980.0,1.0
0.026,0.071,-0.097,0.174,0.003,0.003,968.0,799.0,1.0
0.103,0.095,-0.037,0.295,0.004,0.003,668.0,849.0,1.0
0.089,0.095,-0.043,0.294,0.003,0.003,881.0,960.0,1.0
0.248,0.126,0.012,0.474,0.005,0.002,528.0,1214.0,1.01
-0.001,0.068,-0.131,0.137,0.003,0.004,482.0,602.0,1.01
-0.124,0.122,-0.366,0.058,0.005,0.004,608.0,788.0,1.01
1.282,0.161,0.997,1.594,0.008,0.004,426.0,716.0,1.01
0.003,0.066,-0.124,0.139,0.002,0.002,807.0,792.0,1.01
-0.221,0.158,-0.519,0.024,0.007,0.004,563.0,925.0,1.01
-1.803,0.16,-2.085,-1.489,0.007,0.004,541.0,938.0,1.0
0.004,0.063,-0.107,0.141,0.002,0.003,778.0,895.0,1.0
0.052,0.079,-0.077,0.212,0.003,0.003,740.0,1116.0,1.01
0.664,0.137,0.408,0.911,0.007,0.005,452.0,503.0,1.01
0.085,0.102,-0.072,0.29,0.005,0.005,593.0,519.0,1.0
0.01,0.061,-0.105,0.134,0.002,0.002,947.0,922.0,1.0
2.5,0.223,2.048,2.876,0.012,0.005,354.0,970.0,1.02
0.789,0.31,0.162,1.335,0.02,0.008,238.0,922.0,1.02
-3.688,0.231,-4.133,-3.259,0.014,0.006,285.0,778.0,1.01
-0.04,0.074,-0.189,0.084,0.003,0.003,792.0,628.0,1.0
-0.392,0.156,-0.673,-0.098,0.008,0.004,338.0,727.0,1.01
0.027,0.076,-0.118,0.176,0.003,0.004,692.0,438.0,1.01
1.248,0.12,1.023,1.466,0.007,0.003,262.0,661.0,1.01
0.022,0.084,-0.141,0.173,0.003,0.002,579.0,1310.0,1.0
1.955,0.061,1.844,2.067,0.003,0.001,468.0,942.0,1.01
-0.189,0.066,-0.315,-0.067,0.003,0.001,584.0,1114.0,1.01
0.521,0.094,0.339,0.688,0.004,0.002,497.0,1203.0,1.01
-0.249,0.063,-0.371,-0.134,0.003,0.001,498.0,1241.0,1.01
0.174,0.096,-0.019,0.342,0.003,0.002,816.0,1753.0,1.0
-0.259,0.06,-0.372,-0.15,0.003,0.001,452.0,919.0,1.01
1.364,0.071,1.224,1.489,0.003,0.001,579.0,1248.0,1.0
0.831,0.026,0.78,0.876,0.002,0.001,283.0,868.0,1.01
-0.001,1.001,-1.983,1.772,0.025,0.016,1577.0,2113.0,1.0
-0.018,0.974,-1.831,1.806,0.029,0.017,1143.0,1869.0,1.01
-0.0,0.998,-1.911,1.815,0.025,0.015,1590.0,2165.0,1.0
-0.034,0.985,-1.868,1.825,0.028,0.016,1214.0,2079.0,1.0
0.028,0.97,-1.922,1.721,0.028,0.015,1219.0,2211.0,1.0
-0.019,1.036,-2.068,1.842,0.027,0.017,1514.0,2007.0,1.0
-0.027,1.014,-1.927,1.851,0.028,0.017,1290.0,1601.0,1.0
0.025,1.007,-1.923,1.884,0.027,0.017,1413.0,1867.0,1.0
0.009,1.004,-1.754,1.947,0.029,0.018,1214.0,1766.0,1.0
-0.022,1.01,-1.903,1.848,0.026,0.016,1533.0,2300.0,1.0
-0.015,0.999,-1.839,1.81,0.026,0.017,1513.0,2093.0,1.0
-0.027,0.97,-1.782,1.811,0.026,0.016,1393.0,1976.0,1.0
0.028,1.013,-1.807,1.98,0.028,0.018,1347.0,1735.0,1.0
-0.006,0.98,-1.916,1.782,0.028,0.016,1271.0,2083.0,1.01
-0.019,0.996,-1.828,1.908,0.026,0.016,1475.0,2188.0,1.0
-0.015,0.962,-1.846,1.707,0.024,0.015,1584.0,2187.0,1.0
0.008,1.013,-1.874,1.905,0.029,0.017,1196.0,1956.0,1.0
-0.017,0.982,-1.889,1.834,0.03,0.016,1087.0,1757.0,1.0
